pcnfolder,mean_marker_error_RMS,sd_marker_error_RMS,mean_marker_error_max,sd_marker_error_max
44_1_34_p1,0.029,0.001,0.048,0.004
44_1_35_p1,0.029,0.002,0.051,0.004
44_1_38_p0,0.028,0.003,0.052,0.017
44_1_39_p0,0.025,0.003,0.045,0.01
44_1_3_p0,0.028,0.003,0.052,0.011
44_1_40_p0,0.027,0.003,0.056,0.018
44_1_41_p0,0.027,0.002,0.052,0.009
44_1_42_p0,0.024,0.002,0.042,0.006
44_1_43_p0,0.026,0.002,0.052,0.013
44_1_44_p0,0.028,0.003,0.057,0.011
44_1_47_p1,0.031,0.003,0.063,0.006
44_1_48_p1,0.036,0.002,0.073,0.01
44_1_49_p1,0.029,0.003,0.057,0.01
44_1_4_p0,0.029,0.004,0.058,0.021
44_1_50_p1,0.034,0.004,0.071,0.015
44_1_51_p1,0.033,0.013,0.074,0.054
44_1_52_p1,0.038,0.008,0.075,0.024
44_1_53_p1,0.031,0.003,0.065,0.009
44_1_5_p0,0.029,0.003,0.054,0.011
44_1_6_p0,0.028,0.002,0.056,0.012
44_1_7_p0,0.032,0.005,0.062,0.017
44_1_8_p0,0.029,0.004,0.063,0.023
44_1_tpose_p0,0.029,0.001,0.059,0.002
44_1_tpose_p1,0.029,0.002,0.052,0.006
45_1_11_p1,0.077,0.016,0.162,0.048
45_1_12_p1,0.028,0.002,0.054,0.003
45_1_13_p1,0.048,0.024,0.107,0.06
45_1_14_p1,0.029,0.003,0.057,0.009
45_1_15_p1,0.037,0.005,0.085,0.009
45_1_16_p1,0.033,0.005,0.066,0.01
45_1_17_p1,0.03,0.002,0.053,0.006
45_1_20_p0,0.034,0.005,0.068,0.019
45_1_21_p0,0.035,0.007,0.066,0.023
45_1_22_p0,0.032,0.005,0.064,0.011
45_1_23_p0,0.031,0.004,0.061,0.014
45_1_24_p0,0.031,0.004,0.059,0.008
45_1_25_p0,0.031,0.004,0.061,0.015
45_1_26_p0,0.03,0.005,0.058,0.016
45_1_29_p1,0.034,0.006,0.061,0.012
45_1_2_p0,0.028,0.001,0.051,0.005
45_1_30_p1,0.035,0.004,0.073,0.013
45_1_31_p1,0.033,0.004,0.063,0.013
45_1_32_p1,0.028,0.002,0.055,0.01
45_1_33_p1,0.029,0.002,0.054,0.007
45_1_34_p1,0.03,0.003,0.056,0.008
45_1_35_p1,0.04,0.013,0.082,0.031
45_1_38_p0,0.029,0.001,0.052,0.005
45_1_39_p0,0.03,0.002,0.051,0.008
45_1_3_p0,0.071,0.043,0.246,0.209
45_1_40_p0,0.028,0.001,0.049,0.005
45_1_41_p0,0.029,0.002,0.051,0.006
45_1_42_p0,0.029,0.001,0.048,0.004
45_1_43_p0,0.029,0.002,0.051,0.006
45_1_44_p0,0.033,0.004,0.062,0.011
45_1_47_p1,0.028,0.002,0.056,0.007
45_1_48_p1,0.027,0.003,0.05,0.009
45_1_49_p1,0.029,0.002,0.064,0.011
45_1_4_p0,0.028,0.002,0.05,0.006
45_1_50_p1,0.028,0.002,0.056,0.006
45_1_51_p1,0.031,0.003,0.064,0.007
45_1_52_p1,0.031,0.002,0.062,0.006
45_1_53_p1,0.032,0.002,0.065,0.008
45_1_5_p0,0.032,0.007,0.067,0.014
45_1_6_p0,0.032,0.007,0.068,0.016
45_1_7_p0,0.028,0.004,0.055,0.011
45_1_8_p0,0.029,0.002,0.054,0.009
45_1_tpose_p0,0.031,0.001,0.071,0.003
45_1_tpose_p1,0.027,0.001,0.052,0.004
45_2_103_p1,0.03,0.002,0.055,0.01
45_2_104_p1,0.03,0.003,0.06,0.012
45_2_105_p1,0.032,0.003,0.06,0.011
45_2_106_p1,0.045,0.007,0.097,0.029
45_2_107_p1,0.035,0.008,0.07,0.014
45_2_108_p1,0.032,0.004,0.067,0.017
45_2_109_p1,0.039,0.014,0.089,0.051
45_2_10_p0,0.028,0.002,0.05,0.005
45_2_110_p1,0.027,0.001,0.048,0.005
45_2_111_p1,0.041,0.022,0.09,0.061
45_2_112_p1,0.03,0.004,0.061,0.014
45_2_113_p1,0.033,0.005,0.07,0.018
45_2_114_p1,0.032,0.004,0.066,0.015
45_2_115_p1,0.033,0.003,0.066,0.013
45_2_11_p0,0.028,0.002,0.054,0.009
45_2_12_p0,0.028,0.002,0.051,0.005
45_2_13_p0,0.029,0.002,0.061,0.015
45_2_14_p0,0.027,0.002,0.05,0.01
45_2_15_p0,0.029,0.002,0.056,0.015
45_2_16_p0,0.028,0.001,0.052,0.005
45_2_17_p0,0.027,0.002,0.05,0.006
45_2_18_p0,0.028,0.002,0.056,0.008
45_2_19_p0,0.028,0.002,0.051,0.006
45_2_25_p1,0.028,0.003,0.056,0.014
45_2_26_p1,0.027,0.002,0.05,0.006
45_2_27_p1,0.029,0.002,0.055,0.006
45_2_28_p1,0.026,0.002,0.051,0.006
45_2_29_p1,0.03,0.003,0.068,0.011
45_2_30_p1,0.028,0.002,0.054,0.007
45_2_31_p1,0.029,0.002,0.053,0.004
45_2_32_p1,0.028,0.002,0.051,0.006
45_2_33_p1,0.028,0.002,0.053,0.006
45_2_34_p1,0.031,0.002,0.056,0.006
45_2_35_p1,0.03,0.003,0.06,0.01
45_2_36_p1,0.026,0.003,0.049,0.008
45_2_37_p1,0.028,0.002,0.05,0.007
45_2_38_p1,0.029,0.001,0.058,0.005
45_2_39_p1,0.027,0.002,0.048,0.005
45_2_40_p1,0.028,0.002,0.05,0.005
45_2_41_p1,0.027,0.001,0.05,0.004
45_2_42_p1,0.03,0.003,0.052,0.005
45_2_43_p1,0.028,0.002,0.064,0.009
45_2_48_p0,0.033,0.004,0.066,0.013
45_2_49_p0,0.033,0.008,0.068,0.019
45_2_4_p0,0.031,0.003,0.062,0.01
45_2_50_p0,0.035,0.008,0.074,0.023
45_2_51_p0,0.045,0.022,0.094,0.051
45_2_52_p0,0.041,0.02,0.098,0.074
45_2_53_p0,0.028,0.004,0.054,0.008
45_2_54_p0,0.036,0.008,0.065,0.014
45_2_55_p0,0.031,0.004,0.057,0.008
45_2_56_p0,0.044,0.006,0.107,0.026
45_2_57_p0,0.028,0.002,0.055,0.008
45_2_58_p0,0.031,0.004,0.054,0.009
45_2_59_p0,0.03,0.004,0.062,0.016
45_2_5_p0,0.027,0.001,0.052,0.003
45_2_60_p0,0.034,0.003,0.062,0.008
45_2_65_p1,0.032,0.003,0.066,0.015
45_2_66_p1,0.034,0.002,0.069,0.008
45_2_67_p1,0.031,0.004,0.06,0.008
45_2_68_p1,0.036,0.005,0.073,0.013
45_2_69_p1,0.034,0.004,0.071,0.009
45_2_6_p0,0.031,0.003,0.059,0.011
45_2_70_p1,0.025,0.002,0.053,0.006
45_2_71_p1,0.025,0.002,0.051,0.005
45_2_72_p1,0.033,0.005,0.069,0.025
45_2_73_p1,0.029,0.003,0.054,0.008
45_2_74_p1,0.031,0.002,0.06,0.007
45_2_75_p1,0.028,0.001,0.053,0.006
45_2_76_p1,0.029,0.002,0.06,0.01
45_2_77_p1,0.03,0.002,0.062,0.01
45_2_78_p1,0.033,0.006,0.069,0.031
45_2_79_p1,0.035,0.01,0.078,0.032
45_2_7_p0,0.028,0.004,0.053,0.007
45_2_82_p0,0.029,0.002,0.056,0.008
45_2_83_p0,0.032,0.004,0.06,0.006
45_2_84_p0,0.031,0.003,0.058,0.009
45_2_85_p0,0.036,0.008,0.066,0.013
45_2_86_p0,0.029,0.006,0.055,0.011
45_2_87_p0,0.034,0.011,0.073,0.04
45_2_88_p0,0.036,0.005,0.076,0.013
45_2_89_p0,0.029,0.003,0.055,0.011
45_2_8_p0,0.026,0.002,0.048,0.005
45_2_90_p0,0.032,0.003,0.054,0.005
45_2_91_p0,0.034,0.007,0.07,0.021
45_2_92_p0,0.03,0.004,0.059,0.02
45_2_93_p0,0.029,0.003,0.055,0.013
45_2_94_p0,0.029,0.003,0.057,0.018
45_2_95_p0,0.031,0.004,0.062,0.014
45_2_96_p0,0.029,0.002,0.057,0.009
45_2_97_p0,0.026,0.002,0.052,0.01
45_2_98_p0,0.031,0.006,0.07,0.018
45_2_9_p0,0.029,0.002,0.054,0.008
46_1_11_p1,0.046,0.012,0.106,0.043
46_1_12_p1,0.033,0.003,0.058,0.011
46_1_13_p1,0.033,0.004,0.072,0.015
46_1_14_p1,0.032,0.002,0.061,0.008
46_1_15_p1,0.043,0.012,0.108,0.05
46_1_16_p1,0.041,0.015,0.089,0.052
46_1_17_p1,0.032,0.004,0.063,0.008
46_1_20_p0,0.031,0.004,0.061,0.014
46_1_21_p0,0.029,0.002,0.056,0.009
46_1_22_p0,0.032,0.004,0.063,0.013
46_1_23_p0,0.034,0.006,0.072,0.025
46_1_24_p0,0.031,0.004,0.067,0.015
46_1_25_p0,0.044,0.011,0.094,0.028
46_1_26_p0,0.028,0.006,0.057,0.024
46_1_29_p1,0.041,0.004,0.086,0.014
46_1_2_p0,0.031,0.004,0.069,0.019
46_1_30_p1,0.048,0.017,0.111,0.051
46_1_31_p1,0.038,0.007,0.082,0.033
46_1_32_p1,0.032,0.003,0.064,0.011
46_1_33_p1,0.075,0.057,0.144,0.103
46_1_34_p1,0.029,0.003,0.052,0.007
46_1_35_p1,0.03,0.003,0.059,0.011
46_1_38_p0,0.028,0.004,0.051,0.01
46_1_39_p0,0.026,0.001,0.045,0.005
46_1_3_p0,0.029,0.003,0.054,0.006
46_1_40_p0,0.027,0.002,0.047,0.004
46_1_41_p0,0.028,0.002,0.052,0.006
46_1_42_p0,0.027,0.002,0.047,0.007
46_1_43_p0,0.026,0.001,0.042,0.004
46_1_44_p0,0.027,0.002,0.045,0.005
46_1_47_p1,0.032,0.002,0.057,0.008
46_1_48_p1,0.031,0.001,0.051,0.003
46_1_49_p1,0.046,0.017,0.111,0.06
46_1_4_p0,0.043,0.029,0.095,0.079
46_1_50_p1,0.042,0.011,0.093,0.042
46_1_51_p1,0.037,0.006,0.083,0.023
46_1_52_p1,0.03,0.003,0.056,0.01
46_1_53_p1,0.032,0.003,0.064,0.013
46_1_5_p0,0.029,0.003,0.056,0.009
46_1_6_p0,0.027,0.003,0.051,0.013
46_1_7_p0,0.036,0.012,0.085,0.035
46_1_8_p0,0.026,0.003,0.056,0.016
46_1_tpose_p0,0.027,0.001,0.046,0.003
46_1_tpose_p1,0.035,0.001,0.071,0.005
46_2_100_p1,0.033,0.006,0.061,0.013
46_2_101_p1,0.047,0.024,0.098,0.047
46_2_10_p0,0.029,0.005,0.059,0.016
46_2_11_p0,0.029,0.005,0.063,0.02
46_2_12_p0,0.028,0.004,0.056,0.012
46_2_13_p0,0.031,0.005,0.067,0.018
46_2_16_p1,0.059,0.023,0.136,0.058
46_2_17_p1,0.059,0.026,0.138,0.077
46_2_18_p1,0.03,0.006,0.062,0.016
46_2_19_p1,0.035,0.003,0.069,0.01
46_2_20_p1,0.032,0.006,0.066,0.017
46_2_21_p1,0.03,0.004,0.066,0.017
46_2_22_p1,0.032,0.005,0.068,0.02
46_2_23_p1,0.029,0.002,0.053,0.008
46_2_24_p1,0.038,0.014,0.085,0.044
46_2_25_p1,0.05,0.022,0.117,0.062
46_2_2_p0,0.024,0.003,0.047,0.007
46_2_32_p0,0.026,0.002,0.047,0.011
46_2_33_p0,0.027,0.002,0.047,0.005
46_2_34_p0,0.029,0.006,0.058,0.023
46_2_35_p0,0.026,0.001,0.047,0.005
46_2_36_p0,0.028,0.002,0.052,0.009
46_2_37_p0,0.026,0.002,0.046,0.007
46_2_38_p0,0.029,0.001,0.048,0.004
46_2_39_p0,0.027,0.003,0.053,0.019
46_2_3_p0,0.029,0.004,0.06,0.013
46_2_40_p0,0.028,0.002,0.058,0.011
46_2_41_p0,0.031,0.009,0.065,0.034
46_2_42_p0,0.027,0.001,0.048,0.005
46_2_43_p0,0.025,0.002,0.044,0.005
46_2_44_p0,0.024,0.002,0.041,0.004
46_2_45_p0,0.029,0.003,0.051,0.007
46_2_46_p0,0.027,0.002,0.049,0.008
46_2_47_p0,0.029,0.003,0.054,0.009
46_2_48_p0,0.027,0.002,0.051,0.006
46_2_4_p0,0.026,0.003,0.051,0.01
46_2_55_p1,0.028,0.001,0.049,0.004
46_2_56_p1,0.033,0.004,0.062,0.009
46_2_57_p1,0.026,0.002,0.049,0.008
46_2_58_p1,0.03,0.006,0.06,0.015
46_2_59_p1,0.028,0.003,0.055,0.01
46_2_5_p0,0.029,0.009,0.062,0.035
46_2_60_p1,0.043,0.057,0.118,0.255
46_2_61_p1,0.033,0.004,0.055,0.007
46_2_62_p1,0.027,0.002,0.051,0.008
46_2_63_p1,0.025,0.002,0.046,0.005
46_2_64_p1,0.025,0.002,0.045,0.006
46_2_65_p1,0.026,0.002,0.046,0.006
46_2_66_p1,0.024,0.001,0.042,0.005
46_2_67_p1,0.026,0.001,0.045,0.004
46_2_68_p1,0.025,0.003,0.044,0.008
46_2_69_p1,0.029,0.004,0.056,0.016
46_2_6_p0,0.03,0.009,0.069,0.037
46_2_70_p1,0.029,0.002,0.064,0.012
46_2_71_p1,0.026,0.004,0.049,0.017
46_2_72_p1,0.026,0.002,0.044,0.005
46_2_75_p0,0.027,0.002,0.054,0.01
46_2_76_p0,0.031,0.005,0.065,0.02
46_2_77_p0,0.03,0.003,0.058,0.01
46_2_78_p0,0.03,0.005,0.06,0.014
46_2_79_p0,0.03,0.004,0.06,0.012
46_2_7_p0,0.031,0.007,0.078,0.045
46_2_80_p0,0.03,0.003,0.057,0.009
46_2_81_p0,0.03,0.004,0.059,0.013
46_2_82_p0,0.051,0.031,0.154,0.142
46_2_83_p0,0.029,0.003,0.061,0.014
46_2_84_p0,0.027,0.002,0.05,0.007
46_2_85_p0,0.027,0.002,0.053,0.006
46_2_86_p0,0.044,0.013,0.117,0.06
46_2_8_p0,0.032,0.005,0.074,0.022
46_2_90_p1,0.056,0.014,0.126,0.055
46_2_91_p1,0.042,0.006,0.094,0.024
46_2_92_p1,0.057,0.026,0.115,0.065
46_2_93_p1,0.04,0.006,0.078,0.021
46_2_94_p1,0.041,0.011,0.09,0.036
46_2_95_p1,0.032,0.002,0.068,0.004
46_2_96_p1,0.035,0.005,0.067,0.012
46_2_97_p1,0.036,0.007,0.081,0.023
46_2_98_p1,0.034,0.002,0.063,0.007
46_2_99_p1,0.035,0.002,0.068,0.009
46_2_9_p0,0.03,0.004,0.066,0.016
47_1_11_p1,0.028,0.002,0.052,0.007
47_1_12_p1,0.03,0.003,0.054,0.009
47_1_13_p1,0.029,0.002,0.055,0.006
47_1_14_p1,0.03,0.002,0.052,0.005
47_1_15_p1,0.029,0.002,0.052,0.007
47_1_16_p1,0.027,0.002,0.045,0.004
47_1_17_p1,0.03,0.002,0.055,0.006
47_1_20_p0,0.031,0.011,0.065,0.033
47_1_21_p0,0.034,0.008,0.076,0.034
47_1_22_p0,0.031,0.004,0.063,0.014
47_1_23_p0,0.051,0.023,0.131,0.097
47_1_24_p0,0.033,0.003,0.061,0.011
47_1_25_p0,0.038,0.015,0.077,0.04
47_1_26_p0,0.029,0.002,0.059,0.004
47_1_29_p1,0.032,0.002,0.065,0.008
47_1_2_p0,0.028,0.001,0.046,0.004
47_1_30_p1,0.034,0.005,0.075,0.022
47_1_31_p1,0.046,0.019,0.1,0.054
47_1_32_p1,0.032,0.003,0.063,0.013
47_1_33_p1,0.03,0.002,0.052,0.006
47_1_34_p1,0.032,0.002,0.059,0.01
47_1_35_p1,0.027,0.002,0.056,0.008
47_1_38_p0,0.034,0.01,0.072,0.034
47_1_39_p0,0.033,0.007,0.066,0.018
47_1_3_p0,0.032,0.004,0.055,0.012
47_1_40_p0,0.083,0.043,0.19,0.108
47_1_41_p0,0.036,0.01,0.078,0.028
47_1_42_p0,0.041,0.039,0.101,0.181
47_1_43_p0,0.037,0.019,0.074,0.047
47_1_44_p0,0.031,0.008,0.061,0.029
47_1_47_p1,0.037,0.004,0.077,0.012
47_1_48_p1,0.032,0.005,0.068,0.017
47_1_49_p1,0.03,0.003,0.06,0.011
47_1_4_p0,0.031,0.002,0.052,0.006
47_1_50_p1,0.034,0.008,0.071,0.028
47_1_51_p1,0.042,0.018,0.095,0.048
47_1_52_p1,0.041,0.011,0.103,0.046
47_1_53_p1,0.034,0.007,0.073,0.023
47_1_5_p0,0.03,0.002,0.055,0.005
47_1_6_p0,0.031,0.002,0.056,0.005
47_1_7_p0,0.032,0.003,0.052,0.009
47_1_8_p0,0.033,0.002,0.057,0.006
47_1_tpose_p0,0.028,0.002,0.051,0.005
47_1_tpose_p1,0.03,0.001,0.056,0.006
48_1_11_p1,0.027,0.002,0.048,0.005
48_1_12_p1,0.027,0.001,0.051,0.006
48_1_13_p1,0.027,0.001,0.047,0.005
48_1_14_p1,0.027,0.002,0.046,0.006
48_1_15_p1,0.026,0.001,0.044,0.004
48_1_16_p1,0.026,0.001,0.047,0.006
48_1_17_p1,0.026,0.001,0.047,0.006
48_1_20_p0,0.031,0.003,0.063,0.013
48_1_21_p0,0.03,0.004,0.058,0.014
48_1_22_p0,0.032,0.006,0.059,0.015
48_1_23_p0,0.029,0.003,0.059,0.012
48_1_24_p0,0.03,0.003,0.058,0.012
48_1_25_p0,0.031,0.005,0.056,0.014
48_1_26_p0,0.059,0.034,0.123,0.078
48_1_29_p1,0.03,0.002,0.06,0.012
48_1_2_p0,0.031,0.002,0.056,0.006
48_1_30_p1,0.03,0.003,0.053,0.007
48_1_31_p1,0.058,0.019,0.138,0.067
48_1_32_p1,0.03,0.003,0.061,0.014
48_1_33_p1,0.026,0.002,0.049,0.006
48_1_34_p1,0.028,0.002,0.055,0.005
48_1_35_p1,0.031,0.01,0.064,0.027
48_1_3_p0,0.03,0.003,0.052,0.01
48_1_4_p0,0.031,0.002,0.058,0.009
48_1_5_p0,0.029,0.001,0.049,0.005
48_1_6_p0,0.031,0.002,0.053,0.005
48_1_7_p0,0.031,0.002,0.052,0.006
48_1_8_p0,0.029,0.002,0.05,0.005
48_1_tpose_p0,0.029,0.001,0.058,0.005
48_1_tpose_p1,0.031,0.001,0.056,0.003
48_2_100_p1,0.027,0.001,0.051,0.004
48_2_101_p1,0.028,0.002,0.054,0.007
48_2_102_p1,0.028,0.002,0.057,0.009
48_2_10_p0,0.031,0.007,0.065,0.018
48_2_11_p0,0.026,0.004,0.052,0.014
48_2_12_p0,0.025,0.003,0.05,0.011
48_2_13_p0,0.026,0.004,0.053,0.014
48_2_14_p0,0.032,0.003,0.06,0.011
48_2_15_p0,0.032,0.003,0.061,0.008
48_2_18_p1,0.028,0.002,0.054,0.006
48_2_19_p1,0.026,0.001,0.049,0.006
48_2_20_p1,0.025,0.002,0.049,0.005
48_2_21_p1,0.035,0.008,0.071,0.026
48_2_22_p1,0.028,0.002,0.053,0.009
48_2_23_p1,0.029,0.003,0.055,0.01
48_2_24_p1,0.031,0.002,0.06,0.009
48_2_25_p1,0.032,0.003,0.064,0.015
48_2_26_p1,0.027,0.002,0.05,0.007
48_2_27_p1,0.027,0.002,0.048,0.01
48_2_28_p1,0.03,0.003,0.056,0.009
48_2_29_p1,0.028,0.002,0.052,0.01
48_2_30_p1,0.028,0.003,0.055,0.014
48_2_31_p1,0.031,0.004,0.063,0.017
48_2_32_p1,0.029,0.002,0.052,0.007
48_2_33_p1,0.031,0.003,0.064,0.016
48_2_37_p0,0.056,0.033,0.103,0.056
48_2_38_p0,0.034,0.01,0.066,0.023
48_2_39_p0,0.037,0.012,0.081,0.038
48_2_3_p0,0.03,0.004,0.062,0.012
48_2_40_p0,0.066,0.038,0.131,0.068
48_2_41_p0,0.028,0.004,0.056,0.013
48_2_42_p0,0.035,0.004,0.07,0.012
48_2_43_p0,0.067,0.032,0.136,0.054
48_2_44_p0,0.048,0.01,0.118,0.034
48_2_45_p0,0.063,0.023,0.133,0.041
48_2_46_p0,0.032,0.004,0.061,0.007
48_2_4_p0,0.045,0.02,0.106,0.049
48_2_51_p1,0.029,0.002,0.061,0.009
48_2_52_p1,0.031,0.002,0.062,0.009
48_2_53_p1,0.044,0.016,0.101,0.054
48_2_54_p1,0.035,0.004,0.067,0.014
48_2_55_p1,0.035,0.003,0.073,0.015
48_2_56_p1,0.034,0.003,0.071,0.014
48_2_57_p1,0.037,0.003,0.073,0.013
48_2_58_p1,0.058,0.027,0.146,0.091
48_2_59_p1,0.031,0.002,0.062,0.008
48_2_5_p0,0.029,0.003,0.056,0.01
48_2_60_p1,0.031,0.003,0.066,0.012
48_2_61_p1,0.03,0.002,0.061,0.006
48_2_62_p1,0.029,0.002,0.06,0.01
48_2_63_p1,0.032,0.002,0.059,0.006
48_2_68_p0,0.029,0.002,0.052,0.005
48_2_69_p0,0.031,0.003,0.059,0.012
48_2_6_p0,0.032,0.005,0.06,0.017
48_2_70_p0,0.03,0.002,0.055,0.006
48_2_71_p0,0.028,0.003,0.054,0.015
48_2_72_p0,0.032,0.002,0.062,0.009
48_2_73_p0,0.031,0.002,0.054,0.006
48_2_74_p0,0.03,0.001,0.051,0.003
48_2_75_p0,0.029,0.002,0.052,0.014
48_2_76_p0,0.029,0.003,0.055,0.015
48_2_77_p0,0.03,0.002,0.055,0.006
48_2_78_p0,0.029,0.003,0.053,0.01
48_2_79_p0,0.027,0.002,0.051,0.007
48_2_7_p0,0.03,0.004,0.058,0.015
48_2_80_p0,0.029,0.002,0.05,0.004
48_2_81_p0,0.029,0.002,0.052,0.006
48_2_82_p0,0.029,0.001,0.05,0.007
48_2_87_p1,0.028,0.002,0.053,0.005
48_2_88_p1,0.027,0.002,0.052,0.007
48_2_89_p1,0.027,0.002,0.05,0.007
48_2_8_p0,0.061,0.028,0.125,0.051
48_2_90_p1,0.029,0.003,0.058,0.017
48_2_91_p1,0.029,0.004,0.059,0.019
48_2_92_p1,0.027,0.003,0.052,0.005
48_2_93_p1,0.027,0.002,0.051,0.006
48_2_94_p1,0.027,0.001,0.053,0.005
48_2_95_p1,0.027,0.002,0.052,0.004
48_2_96_p1,0.027,0.002,0.052,0.005
48_2_97_p1,0.027,0.001,0.051,0.005
48_2_98_p1,0.029,0.003,0.058,0.015
48_2_99_p1,0.03,0.007,0.057,0.021
48_2_9_p0,0.029,0.003,0.056,0.011
49_1_11_p1,0.032,0.004,0.07,0.012
49_1_12_p1,0.028,0.003,0.052,0.006
49_1_13_p1,0.029,0.003,0.058,0.009
49_1_14_p1,0.028,0.003,0.053,0.007
49_1_15_p1,0.031,0.006,0.071,0.022
49_1_16_p1,0.028,0.002,0.049,0.004
49_1_17_p1,0.03,0.004,0.061,0.013
49_1_2_p0,0.026,0.001,0.051,0.008
49_1_3_p0,0.027,0.002,0.051,0.004
49_1_4_p0,0.031,0.004,0.067,0.02
49_1_5_p0,0.029,0.003,0.063,0.018
49_1_6_p0,0.028,0.002,0.053,0.009
49_1_7_p0,0.033,0.006,0.073,0.023
49_1_8_p0,0.028,0.002,0.053,0.006
49_1_rein_20_p0,0.026,0.002,0.05,0.003
49_1_rein_21_p0,0.026,0.001,0.048,0.004
49_1_rein_22_p0,0.028,0.001,0.059,0.009
49_1_rein_23_p0,0.026,0.001,0.05,0.004
49_1_rein_24_p0,0.026,0.001,0.049,0.002
49_1_rein_25_p0,0.027,0.001,0.051,0.005
49_1_rein_26_p0,0.027,0.002,0.051,0.006
49_1_rein_29_p1,0.027,0.003,0.056,0.011
49_1_rein_30_p1,0.024,0.002,0.046,0.003
49_1_rein_31_p1,0.026,0.003,0.052,0.007
49_1_rein_32_p1,0.026,0.003,0.053,0.007
49_1_rein_33_p1,0.025,0.002,0.051,0.004
49_1_rein_34_p1,0.025,0.003,0.051,0.006
49_1_rein_35_p1,0.028,0.003,0.053,0.006
49_1_rein_38_p0,0.024,0.002,0.05,0.005
49_1_rein_39_p0,0.028,0.002,0.054,0.005
49_1_rein_40_p0,0.027,0.002,0.049,0.008
49_1_rein_41_p0,0.029,0.003,0.06,0.01
49_1_rein_42_p0,0.027,0.003,0.051,0.009
49_1_rein_43_p0,0.03,0.003,0.062,0.01
49_1_rein_44_p0,0.029,0.002,0.061,0.009
49_1_rein_47_p1,0.026,0.002,0.052,0.013
49_1_rein_48_p1,0.028,0.003,0.061,0.012
49_1_rein_49_p1,0.03,0.005,0.067,0.013
49_1_rein_50_p1,0.029,0.005,0.063,0.014
49_1_rein_51_p1,0.025,0.002,0.054,0.01
49_1_rein_52_p1,0.027,0.003,0.058,0.01
49_1_rein_53_p1,0.031,0.008,0.072,0.031
49_1_tpose_p0,0.033,0.001,0.067,0.002
49_1_tpose_p1,0.034,0.002,0.064,0.007
49_2_rein_24_p1,0.027,0.002,0.05,0.008
49_2_rein_25_p1,0.026,0.002,0.05,0.008
49_2_rein_26_p1,0.027,0.002,0.052,0.007
49_2_rein_27_p1,0.027,0.002,0.053,0.01
49_2_rein_28_p1,0.027,0.002,0.05,0.008
49_2_rein_29_p1,0.026,0.001,0.05,0.007
49_2_rein_30_p1,0.026,0.002,0.051,0.006
49_2_rein_31_p1,0.026,0.002,0.05,0.004
49_2_rein_32_p1,0.027,0.002,0.054,0.006
49_2_rein_33_p1,0.026,0.002,0.048,0.005
49_2_rein_34_p1,0.028,0.003,0.052,0.008
49_2_rein_35_p1,0.028,0.002,0.053,0.008
49_2_rein_36_p1,0.027,0.002,0.051,0.005
49_2_rein_37_p1,0.028,0.003,0.054,0.006
49_2_rein_38_p1,0.028,0.003,0.055,0.009
49_2_rein_39_p1,0.027,0.001,0.056,0.006
49_2_rein_40_p1,0.026,0.002,0.052,0.009
49_2_rein_41_p1,0.027,0.002,0.052,0.005
49_2_rein_42_p1,0.026,0.002,0.047,0.005
49_2_rein_55_p1,0.027,0.004,0.054,0.011
49_2_rein_56_p1,0.028,0.004,0.062,0.012
49_2_rein_57_p1,0.026,0.003,0.052,0.009
49_2_rein_58_p1,0.025,0.002,0.053,0.013
49_2_rein_59_p1,0.025,0.002,0.049,0.008
49_2_rein_60_p1,0.026,0.003,0.053,0.007
49_2_rein_61_p1,0.028,0.004,0.062,0.012
49_2_rein_62_p1,0.027,0.003,0.056,0.009
49_2_rein_63_p1,0.026,0.003,0.05,0.009
49_2_rein_64_p1,0.028,0.003,0.061,0.009
49_2_rein_65_p1,0.035,0.008,0.087,0.029
49_2_rein_66_p1,0.026,0.003,0.053,0.011
49_2_rein_70_p0,0.03,0.003,0.055,0.011
49_2_rein_71_p0,0.033,0.003,0.06,0.009
49_2_rein_72_p0,0.029,0.001,0.052,0.005
49_2_rein_73_p0,0.03,0.002,0.055,0.006
49_2_rein_74_p0,0.044,0.023,0.099,0.07
49_2_rein_75_p0,0.038,0.007,0.082,0.023
49_2_rein_76_p0,0.047,0.024,0.113,0.099
49_2_rein_77_p0,0.033,0.005,0.07,0.021
49_2_rein_78_p0,0.037,0.006,0.08,0.024
49_2_rein_79_p0,0.029,0.001,0.054,0.004
49_2_rein_83_p1,0.031,0.003,0.061,0.009
49_2_rein_84_p1,0.037,0.007,0.077,0.022
49_2_rein_85_p1,0.032,0.003,0.061,0.009
49_2_rein_86_p1,0.028,0.003,0.051,0.006
49_2_rein_87_p1,0.031,0.006,0.076,0.033
49_2_rein_88_p1,0.035,0.008,0.08,0.03
49_2_rein_89_p1,0.033,0.005,0.067,0.019
49_2_rein_90_p1,0.03,0.002,0.066,0.011
49_2_rein_91_p1,0.033,0.005,0.072,0.023
49_2_rein_92_p1,0.035,0.005,0.074,0.018
49_2_rein_93_p1,0.031,0.005,0.067,0.012
49_2_rein_94_p1,0.049,0.024,0.115,0.06
49_2_rein_95_p1,0.03,0.005,0.063,0.016
49_2_rein_96_p1,0.028,0.003,0.058,0.02
49_2_rein_97_p1,0.026,0.003,0.047,0.008
4_1_11_p1,0.031,0.004,0.069,0.023
4_1_12_p1,0.026,0.004,0.057,0.022
4_1_13_p1,0.026,0.001,0.047,0.006
